0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.253752,0.45834726,0.18502834,2.5500882,-0.32320926,0.7859154,0.22587372,-0.8893687,-0.34942392,-0.18890774,-0.45374015,0.0073430315,-0.65523833,-0.5033846,-0.80666286,0.982141
-1.2435021,1.1158919,-0.4903033,0.7103181,0.104145885,1.5189499,0.6885697,0.097354725,-0.9192723,0.9050258,-1.1125916,-1.032562,0.8453228,0.81606853,0.5340805,0.3898351
0.3967813,1.6744393,0.580062,1.9214001,-2.0242014,-0.09955051,0.9519038,-1.3633082,0.35078815,-0.2639488,1.6893845,0.7517035,-0.90051764,1.7032983,2.0460105,0.3898994
0.24822143,-1.0409887,0.60234755,-0.6239316,-0.29042333,-0.80740327,-0.9160526,-0.60637516,-1.7459948,-3.2557878,0.44912672,-0.81547916,-1.31867,-1.6468414,0.45975283,0.57559466
1.7450223,-1.7223628,0.2075884,-0.6296215,1.4153749,-1.0862203,2.118645,-1.0595717,-0.6179379,0.14741217,-1.339628,0.68885505,0.29422745,0.059861198,-1.0994388,-0.8312532
1.0074782,0.53817534,0.37114623,-0.45402825,-0.1695997,0.95292926,-1.0428361,-0.36148003,-0.034455545,0.24298689,-1.0429586,-0.40201882,0.33016568,-0.6964937,-1.3618714,-0.21154124
-1.8385825,-0.5694595,0.75902927,0.7156881,-0.8340658,-0.33220333,0.3757605,0.22704029,0.13191862,0.7395889,0.23138624,-0.3875342,-0.02999078,0.8492807,-1.4917673,-0.35535365
-0.13652758,-0.9908683,0.7566813,1.0741606,-1.0432814,0.3991726,0.2375212,0.02058356,-1.048821,-2.5135126,-0.597294,-1.0922451,0.6251696,-0.6136246,-0.91979027,0.7413274
-1.4479463,-0.63815284,0.2414959,0.5258449,-1.0133886,-0.15473373,-0.6799125,0.9470597,-0.5814195,1.723818,0.15317759,0.5473457,0.5157092,0.74424124,1.0749477,-0.18237881
-0.23276539,-0.7170112,1.3125927,0.06689449,1.0990303,-1.4911103,-0.06856852,1.6594936,-1.9519866,2.3372931,1.5538702,0.07726216,-0.75506186,1.0154364,0.039258316,-0.69910353
1.4252607,1.9001608,-1.2300249,-1.914661,0.49046725,-0.1981986,-0.5524548,-0.745455,1.266506,1.5283867,-1.3846902,1.2928878,-0.13037838,-0.6190836,-0.5497189,-1.5040346
-0.14605245,-1.1751779,1.7370616,1.4405429,-1.1871507,-1.9892048,1.2449678,0.33201474,0.033860113,-0.19597602,-0.21282364,-0.4381347,0.44711515,-0.055748574,-1.9188665,1.4513841
-0.45239526,-0.40343562,1.0870749,1.378355,-0.89340043,-0.042732567,-0.31809154,0.38235748,-0.78395563,1.8859532,-0.3762845,0.7986403,1.0632719,-0.047463026,0.743261,-0.3192593
-0.5772169,1.153113,-1.5363829,-1.2795644,-0.55973667,0.53422576,0.58986574,-0.64404804,-0.36281806,-0.83017063,1.5059767,-0.030782433,-0.45924985,1.338548,-1.2658347,-0.6286123
0.07444431,0.011059809,-1.3905045,2.1460266,-0.12050903,0.89520574,1.0674862,-1.4469311,-1.6205869,-0.28122908,-0.009001058,-1.6948477,0.3582102,-0.4370144,-0.6778698,-0.9359046
0.6617371,-0.22861347,0.37552533,-1.4514875,-0.82444626,0.07244328,-0.5166088,-1.0291672,0.5120156,-0.16164027,-2.0543897,-0.3094027,0.4199231,0.1950956,-0.52751976,0.68129003
-1.4699833,-0.17068267,-0.7496923,0.8697126,1.9413575,-0.3737033,-0.9078858,-1.6434596,0.7137986,0.43726826,0.676205,-0.7385196,-0.034836914,1.3290626,0.25935835,-1.0079782
-1.8285272,-0.26049992,-1.0387576,-0.022936674,-1.2550704,-0.65035635,0.47337726,-1.5213597,1.874753,0.041849215,0.7524939,-0.045267265,1.513656,1.2521366,1.0167565,-0.26140192
-1.4247178,-1.2546794,0.0034472062,-0.9469352,-0.7949775,-0.8265236,2.2238572,0.03150601,0.41475537,-0.83917177,0.15211977,0.025548363,0.09894768,-1.2663939,-0.12186599,0.18573053
-1.8728442,1.1205686,0.97880656,0.25903866,0.99243194,0.031164296,-1.7991493,-1.8311315,-0.12419711,1.1280787,-0.0028505956,0.14576288,-0.43183538,-0.72237396,1.117582,-0.30061615
